CustomerID,Age,Gender,Income,PurchaseAmount
C001,40,Male,26033,19549
C002,36,Female,41910,4144
C003,22,Female,54382,24896
C004,42,Female,56111,24093
C005,40,Male,33263,5282
C006,27,Female,33912,22017
C007,55,Male,77302,16705
C008,48,Male,44223,18672
C009,22,Female,77120,5009
C010,30,Male,71306,18030
C011,24,Male,59650,10699
C012,49,Male,76738,3881
C013,20,Male,77359,16720
C014,57,Male,79476,6788
C015,33,Male,38688,9785
C016,45,Female,66584,21936
C017,33,Male,73243,15493
C018,36,Female,59192,16139
C019,51,Female,49651,23456
C020,43,Male,64693,12160
C021,36,Male,35448,14622
C022,48,Female,53510,22884
C023,20,Female,58651,19570
C024,39,Female,54544,5359
C025,56,Male,32951,3978
C026,50,Male,37984,15104
C027,39,Female,69035,3554
C028,20,Male,47442,11914
C029,57,Male,34141,14845
C030,45,Male,42293,22821
C031,39,Female,35266,4102
C032,40,Female,46068,7779
C033,45,Male,51348,17051
C034,60,Male,59581,3122
C035,52,Male,42665,5341
C036,58,Female,67901,3806
C037,55,Female,33310,14528
C038,48,Male,33998,2617
C039,35,Female,76468,11243
C040,35,Female,56251,14079
C041,21,Female,61371,5996
C042,42,Female,41252,17754
C043,27,Female,44708,7942
C044,34,Female,68234,22736
C045,54,Female,30316,6121
C046,56,Female,76958,17180
C047,59,Female,74823,22683
C048,53,Male,49386,23534
C049,58,Male,41505,6897
C050,30,Male,77753,22928
